"Room","System","Default oil"
"Pump & Steering Gear Rooms","Gearbox PS","ALPHA SP 100"
"Pump & Steering Gear Rooms","Gearbox SB","ALPHA SP 100"
"Pump & Steering Gear Rooms","Stern Tube PS","BIOSTAT 100"
"Pump & Steering Gear Rooms","Stern Tube SB","BIOSTAT 100"
"Pump & Steering Gear Rooms","Steering Gear","ALPHA SP 150"
"Main Engine Room","Main Engine PS","MHP 154"
"Main Engine Room","Main Engine SB","MHP 154"
"Aux. Engine Room","Wartsila","MHP 154"
"Aux. Engine Room","CAT SB","TACTION 15W40"
"Aux. Engine Room","CAT CL","TACTION 15W40"
"Aux. Engine Room","CAT PS","TACTION 15W40"
