ID,Room,System,Measurement,Unit,Min,Max,Opt,Notes,Data
1,Pump & Steering Gear Rooms,FO,Settling Tank SB 27,cube,,,,,
2,Pump & Steering Gear Rooms,FO,Settling Tank PS 28,cube,,,,,
3,Pump & Steering Gear Rooms,FO,Settling Tank PS 29,cube,,,,,
4,Pump & Steering Gear Rooms,FO,Settling Tank SB 29,cube,,,,,
5,Pump & Steering Gear Rooms,Pump Room CPP PT Side,Pitch Angle,deg,0,25,,,
6,Pump & Steering Gear Rooms,Pump Room CPP PT Side,Running Pump #,enum,1,2,,exclusive,
7,Pump & Steering Gear Rooms,Pump Room CPP PT Side,Pump Del. Pressure,bar,,,,,
8,Pump & Steering Gear Rooms,Pump Room CPP PT Side,LO Pressure,bar,,,,,
9,Pump & Steering Gear Rooms,Pump Room CPP PT Side,SO Pressure,bar,,,,,
10,Pump & Steering Gear Rooms,Pump Room CPP PT Side,OO Pressure,bar,,,,,
11,Pump & Steering Gear Rooms,Pump Room CPP PT Side,Air Pressure Ahead,bar,,,,,
12,Pump & Steering Gear Rooms,Pump Room CPP PT Side,7.5 bar Air Pressure,bar,,,,,
13,Pump & Steering Gear Rooms,Pump Room CPP PT Side,1.5 bar Air Pressure,bar,,,,,
14,Pump & Steering Gear Rooms,Pump Room CPP PT Side,Sump Tank Level,cm,,,,,
15,Pump & Steering Gear Rooms,Pump Room CPP SB Side,Pitch Angle,deg,,,,,
16,Pump & Steering Gear Rooms,Pump Room CPP SB Side,Running Pump #,enum,1,2,,exclusive,
17,Pump & Steering Gear Rooms,Pump Room CPP SB Side,Pump Del. Pressure,bar,,,,,
18,Pump & Steering Gear Rooms,Pump Room CPP SB Side,LO Pressure,bar,,,,,
19,Pump & Steering Gear Rooms,Pump Room CPP SB Side,SO Pressure,bar,,,,,
20,Pump & Steering Gear Rooms,Pump Room CPP SB Side,OO Pressure,bar,,,,,
21,Pump & Steering Gear Rooms,Pump Room CPP SB Side,Air Pressure Ahead,bar,,,,,
22,Pump & Steering Gear Rooms,Pump Room CPP SB Side,7.5 bar Air Pressure,bar,,,,,
23,Pump & Steering Gear Rooms,Pump Room CPP SB Side,1.5 bar Air Pressure,bar,,,,,
24,Pump & Steering Gear Rooms,Pump Room CPP SB Side,Sump Tank Level,cm,,,,,
25,Pump & Steering Gear Rooms,Shaft,Fwd Seal Top Level PS,binary,,,,,
26,Pump & Steering Gear Rooms,Shaft,Aft Seal Level PS,cm,,,,,
27,Pump & Steering Gear Rooms,Shaft,G11 Pressure PS,bar,,,,,
28,Pump & Steering Gear Rooms,Shaft,G40 Pressure PS,bar,,,,,
29,Pump & Steering Gear Rooms,Shaft,Fwd Seal Top Level SB,binary,,,,,
30,Pump & Steering Gear Rooms,Shaft,Aft Seal Level SB,cm,,,,,
31,Pump & Steering Gear Rooms,Shaft,G11 Pressure SB,bar,,,,,
32,Pump & Steering Gear Rooms,Shaft,G40 Pressure SB,bar,,,,,
33,Pump & Steering Gear Rooms,Shaft,Bearing Oil Level PS,binary,,,,,
34,Pump & Steering Gear Rooms,Shaft,Bearing Oil Level SB,binary,,,,,
35,Pump & Steering Gear Rooms,Shaft,Bearing Oil Flow PS - SB,binary,,,,,
36,Pump & Steering Gear Rooms,Shaft,Earthing reading PS,mV,,,,,
37,Pump & Steering Gear Rooms,Shaft,Earthing reading SB,mV,,,,,
38,Pump & Steering Gear Rooms,Pump room bilge levels,PS,binary,,,,,
39,Pump & Steering Gear Rooms,Pump room bilge levels,SB,binary,,,,,
40,Pump & Steering Gear Rooms,Steering gear,Grease Round Done,binary,,,,,
41,Pump & Steering Gear Rooms,Steering gear,Pressure Min,bar,,,,,
42,Pump & Steering Gear Rooms,Steering gear,Pressure Max,bar,,,,,
43,Pump & Steering Gear Rooms,Steering gear,Tank Level,cm,,,,,
44,AC Room,Fresh Water,Drinkwater Tank 5 PS,cube,,,,,
45,AC Room,Fresh Water,Drinkwater Tank 5 SB,cube,,,,,
46,AC Room,Sewage,Tank 7,cube,,,,,
47,AC Room,Provision Cooling Plant,Compressor Suction Pressure,bar,,,,,
48,AC Room,Provision Cooling Plant,Compressor Delivery Pressure,bar,,,,,
